site,date,rep,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
ODNR_4,6/8/2017,1,39.2,1.84,0.19,0.01,0,,,,,,
ODNR_4,6/8/2017,2,38.09,1.72,0.2,0.03,0,,,,,,
ODNR_4,6/8/2017,avg,38.645,1.78,0.195,0.02,0,,,,,,
ODNR_6,6/8/2017,1,83.38,7.06,0.88,0.11,0.01,,,,,,
ODNR_6,6/8/2017,2,80.53,7.22,0.63,0.09,0.01,,,,,,
ODNR_6,6/8/2017,avg,81.955,7.14,0.755,0.1,0.01,,,,,,
ODNR_2,6/8/2017,1,114.95,6.3,0.58,0.07,0.01,,,,,,
ODNR_2,6/8/2017,2,13.08,11.14,0.98,0.09,0.01,,,,,,
ODNR_2,6/8/2017,avg,64.015,8.72,0.78,0.08,0.01,,,,,,
ODNR_1,6/8/2017,1,95.7,34.56,4.81,0.66,0.13,,,,,,
ODNR_1,6/8/2017,2,408,35.96,5.69,0.73,0.1,,,,,,
ODNR_1,6/8/2017,avg,251.85,35.26,5.25,0.695,0.115,,,,,,
EC_1163,6/8/2017,1,391.6,70.23,19.3,3.85,0.72,0.17,0.03,,,,
EC_1163,6/8/2017,2,325.1,20.89,4.45,1.28,0.45,0.13,0.03,,,,
EC_1163,6/8/2017,avg,358.35,45.56,11.875,2.565,0.585,0.15,0.03,,,,
ODNR_4,6/19/2017,1,356.3,6.51,0.25,0.01,,,,,,,
ODNR_4,6/19/2017,2,338.6,5.94,0.2,0.01,,,,,,,
ODNR_4,6/19/2017,avg,347.45,6.225,0.225,0.01,,,,,,,
ODNR_6,6/19/2017,1,339.5,8.57,0.17,0,,,,,,,
ODNR_6,6/19/2017,2,342,5.04,0.22,0,,,,,,,
ODNR_6,6/19/2017,avg,340.75,6.805,0.195,0,,,,,,,
ODNR_2,6/19/2017,1,166.51,30,1.44,0.17,0.02,,,,,,
ODNR_2,6/19/2017,2,205.4,21.66,2.34,0.41,0.03,,,,,,
ODNR_2,6/19/2017,avg,185.955,25.83,1.89,0.29,0.025,,,,,,
ODNR_1,6/19/2017,1,515.2,28.05,0.77,0.07,,,,,,,
ODNR_1,6/19/2017,2,395.9,16.09,0.56,0.02,,,,,,,
ODNR_1,6/19/2017,avg,455.55,22.07,0.665,0.045,,,,,,,
EC_1163,6/19/2017,1,299.6,48.37,6.35,1.09,0.15,0.02,,,,,
EC_1163,6/19/2017,2,370.8,45.07,4.37,0.61,0.11,0.01,,,,,
EC_1163,6/19/2017,avg,335.2,46.72,5.36,0.85,0.13,0.015,,,,,
Buoy_2,6/19/2017,1,483.2,109.67,5.74,,,,,,,,
Buoy_2,6/19/2017,2,138,4.03,0.88,0.78,0.21,,,,,,
Buoy_2,6/19/2017,avg,310.6,56.85,3.31,0.78,0.21,,,,,,
Bridge,6/19/2017,1,14.6,0.69,0.04,,,,,,,,
Bridge,6/19/2017,2,14.48,0.46,0.03,,,,,,,,
Bridge,6/19/2017,avg,14.54,0.575,0.035,,,,,,,,
Bells,6/19/2017,1,379,149.75,62.12,13.53,5.09,1.67,0.45,,,,
Bells,6/19/2017,2,375.1,123.88,29.72,2.17,0.81,0.4,0.27,0.08,,,
Bells,6/19/2017,avg,377.05,136.815,45.92,7.85,2.95,1.035,0.36,0.08,,,
ODNR_4,6/26/2017,1,256.7,0.55,0,,,,,,,,
ODNR_4,6/26/2017,2,,,,,,,,,,,
ODNR_4,6/26/2017,avg,256.7,0.55,0,,,,,,,,
ODNR_6,6/26/2017,1,153.67,5,0.05,0,,,,,,,
ODNR_6,6/26/2017,2,,,,,,,,,,,
ODNR_6,6/26/2017,avg,153.67,5,0.05,0,,,,,,,
ODNR_2,6/26/2017,1,450.6,3.97,0.81,0.04,0,,,,,,
ODNR_2,6/26/2017,2,,,,,,,,,,,
ODNR_2,6/26/2017,avg,450.6,3.97,0.81,0.04,0,,,,,,
ODNR_1,6/26/2017,1,423.6,9.06,0.67,0,,,,,,,
ODNR_1,6/26/2017,2,,,,,,,,,,,
ODNR_1,6/26/2017,avg,423.6,9.06,0.67,0,,,,,,,
EC_1163,6/26/2017,1,239.8,48.26,7.46,2.22,0.4,0.07,,,,,
EC_1163,6/26/2017,2,,,,,,,,,,,
EC_1163,6/26/2017,avg,239.8,48.26,7.46,2.22,0.4,0.07,,,,,
Buoy_2,6/26/2017,1,214.3,7.3,1.25,0.29,0.01,,,,,,
Buoy_2,6/26/2017,2,,,,,,,,,,,
Buoy_2,6/26/2017,avg,214.3,7.3,1.25,0.29,0.01,,,,,,
Bridge,6/26/2017,1,77.79,6.57,,,,,,,,,
Bridge,6/26/2017,2,,,,,,,,,,,
Bridge,6/26/2017,avg,77.79,6.57,,,,,,,,,
Bells,6/26/2017,1,207.6,38.21,9.7,4.27,3.56,2.04,0.74,0.35,,,
Bells,6/26/2017,2,,,,,,,,,,,
Bells,6/26/2017,avg,207.6,38.21,9.7,4.27,3.56,2.04,0.74,0.35,,,
ODNR_4,7/17/2017,1,19.65,0.06,0,,,,,,,,
ODNR_4,7/17/2017,2,21.45,0.09,0,,,,,,,,
ODNR_4,7/17/2017,avg,20.55,0.075,0,,,,,,,,
ODNR_6,7/17/2017,1,12.39,0.64,0.02,,,,,,,,
ODNR_6,7/17/2017,2,13.75,0.18,0,,,,,,,,
ODNR_6,7/17/2017,avg,13.07,0.41,0.01,,,,,,,,
ODNR_2,7/17/2017,1,16.67,0.3,0.02,,,,,,,,
ODNR_2,7/17/2017,2,13.41,0.46,0.05,,,,,,,,
ODNR_2,7/17/2017,avg,15.04,0.38,0.035,,,,,,,,
ODNR_1,7/17/2017,1,14.52,1.18,0.2,0.03,,,,,,,
ODNR_1,7/17/2017,2,14.11,1.2,0.26,0.03,,,,,,,
ODNR_1,7/17/2017,avg,14.315,1.19,0.23,0.03,,,,,,,
EC_1163,7/17/2017,1,154.9,1.67,0.2,0.03,,,,,,,
EC_1163,7/17/2017,2,15.8,1.04,0.23,0.02,,,,,,,
EC_1163,7/17/2017,avg,85.35,1.355,0.215,0.025,,,,,,,
Buoy_2,7/17/2017,1,193.71,16.67,2.06,0.12,0.03,0.01,,,,,
Buoy_2,7/17/2017,2,196.84,16.73,1.87,0.32,0.02,0,,,,,
Buoy_2,7/17/2017,avg,195.275,16.7,1.965,0.22,0.025,0.005,,,,,
Bridge,7/17/2017,1,6.19,0.09,0,,,,,,,,
Bridge,7/17/2017,2,4.56,0.04,0,,,,,,,,
Bridge,7/17/2017,avg,5.375,0.065,0,,,,,,,,
Bells,7/17/2017,1,16.98,10.37,14.56,21.6,14.31,11.49,,,,,
Bells,7/17/2017,2,131.23,109.97,13.02,23.32,,11.51,,,,,
Bells,7/17/2017,avg,74.105,60.17,13.79,22.46,14.31,11.5,,,,,
ODNR_4,7/31/2017,1,107.59,1.21,0.04,0,,,,,,,
ODNR_4,7/31/2017,2,21.59,0.48,0.02,0,,,,,,,
ODNR_4,7/31/2017,avg,64.59,0.845,0.03,0,,,,,,,
ODNR_6,7/31/2017,1,109.22,5.33,0.28,0.01,,,,,,,
ODNR_6,7/31/2017,2,10.49,0.57,0.09,,,,,,,,
ODNR_6,7/31/2017,avg,59.855,2.95,0.185,0.01,,,,,,,
Bridge,7/31/2017,1,6.02,0.28,0.03,0,,,,,,,
Bridge,7/31/2017,2,8.12,0.2,0.03,0,,,,,,,
Bridge,7/31/2017,avg,7.07,0.24,0.03,0,,,,,,,
ODNR_2,7/31/2017,1,115.08,3.66,0.58,0.18,0.03,,,,,,
ODNR_2,7/31/2017,2,13.64,4.81,0.96,0.18,,,,,,,
ODNR_2,7/31/2017,avg,64.36,4.235,0.77,0.18,0.03,,,,,,
Buoy_2,7/31/2017,1,146.71,2.21,0.52,0.05,0.02,,,,,,
Buoy_2,7/31/2017,2,138.69,14.48,0.71,0.09,0.02,,,,,,
Buoy_2,7/31/2017,avg,142.7,8.345,0.615,0.07,0.02,,,,,,
ODNR_1,7/31/2017,1,49.85,3.66,0.56,0.04,,,,,,,
ODNR_1,7/31/2017,2,9.21,0.85,0.22,,,,,,,,
ODNR_1,7/31/2017,avg,29.53,2.255,0.39,0.04,,,,,,,
EC_1163,7/31/2017,1,171.08,23.48,4.65,1.04,0.15,,,,,,
EC_1163,7/31/2017,2,167.6,25.3,3.17,0.59,,,,,,,
EC_1163,7/31/2017,avg,169.34,24.39,3.91,0.815,0.15,,,,,,
Bells,7/31/2017,1,119.71,105.23,45.35,19.58,13.58,11.53,,,,,
Bells,7/31/2017,2,15.69,11.62,15.7,20.69,22.9,,,,,,
Bells,7/31/2017,avg,67.7,58.425,30.525,20.135,18.24,11.53,,,,,
ODNR_4,8/28/2017,1,37.23,1.22,0.05,0,,,,,,,
ODNR_4,8/28/2017,2,37.79,1.07,0.04,0,,,,,,,
ODNR_4,8/28/2017,avg,37.51,1.145,0.045,0,,,,,,,
ODNR_6,8/28/2017,1,44.79,3.09,0.24,0.04,0,,,,,,
ODNR_6,8/28/2017,2,46.32,3.1,0.37,0.04,0,,,,,,
ODNR_6,8/28/2017,avg,45.555,3.095,0.305,0.04,0,,,,,,
Bridge,8/28/2017,1,17.39,0.48,0.07,0.01,0,,,,,,
Bridge,8/28/2017,2,14.76,0.51,0.05,0,,,,,,,
Bridge,8/28/2017,avg,16.075,0.495,0.06,0.005,0,,,,,,
ODNR_2,8/28/2017,1,48.46,3.36,0.42,0.07,0.01,0,,,,,
ODNR_2,8/28/2017,2,41.69,3.92,0.42,0.07,0,,,,,,
ODNR_2,8/28/2017,avg,45.075,3.64,0.42,0.07,0.005,0,,,,,
Buoy_2,8/28/2017,1,37.66,4.3,0.98,0.23,0.07,0.02,0,,,,
Buoy_2,8/28/2017,2,30.5,4.92,1.21,0.35,0.1,0.01,0,,,,
Buoy_2,8/28/2017,avg,34.08,4.61,1.095,0.29,0.085,0.015,0,,,,
ODNR_1,8/28/2017,1,17.55,3.16,1.03,0.29,0.07,0.02,0,,,,
ODNR_1,8/28/2017,2,13.96,2.95,0.74,0.23,0.06,0.02,0,,,,
ODNR_1,8/28/2017,avg,15.755,3.055,0.885,0.26,0.065,0.02,0,,,,
EC_1163,8/28/2017,1,10.02,2.69,1.12,0.36,0.18,0.06,0.02,0,,,
EC_1163,8/28/2017,2,16.19,4.05,1.53,0.6,0.2,0.06,0.02,0,,,
EC_1163,8/28/2017,avg,13.105,3.37,1.325,0.48,0.19,0.06,0.02,0,,,
Bells,8/28/2017,1,23.85,10.58,4.79,3.33,1.56,0.79,0.46,0.26,0.13,0.07,0.03
Bells,8/28/2017,2,22.86,9.58,4.73,2.62,1.15,0.81,0.43,0.31,0.15,0.06,0.02
Bells,8/28/2017,avg,23.355,10.08,4.76,2.975,1.355,0.8,0.445,0.285,0.14,0.065,0.025
