date,site,rep,final_chl
5/30/2023,Muddy Creek,1,30.3
5/30/2023,Muddy Creek,2,30.69
5/30/2023,Muddy Creek,3,38.46
5/30/2023,ODNR_4,1,20.82
5/30/2023,ODNR_4,2,27.66
5/30/2023,ODNR_4,3,26.99
5/30/2023,ODNR_6,1,24.01
5/30/2023,ODNR_6,2,34.32
5/30/2023,ODNR_6,3,30.44
5/30/2023,Bridge,1,6.98
5/30/2023,Bridge,2,16.16
5/30/2023,Bridge,3,21.99
5/30/2023,ODNR_2,1,20.65
5/30/2023,ODNR_2,2,29.55
5/30/2023,ODNR_2,3,43.3
5/30/2023,Buoy_2,1,57.82
5/30/2023,Buoy_2,2,43.25
5/30/2023,Buoy_2,3,47.77
5/30/2023,ODNR_1,1,11.04
5/30/2023,ODNR_1,2,7.98
5/30/2023,ODNR_1,3,59.12
5/30/2023,EC_1163,1,47.82
5/30/2023,EC_1163,2,34.55
5/30/2023,EC_1163,3,34.88
5/30/2023,Causeway,1,6.6
5/30/2023,Causeway,2,7.06
5/30/2023,Causeway,3,28.59
5/30/2023,Bells,1,14.3
5/30/2023,Bells,2,20.21
5/30/2023,Bells,3,18.33
6/6/2023,Muddy Creek,1,128.87
6/6/2023,Muddy Creek,2,116.44
6/6/2023,Muddy Creek,3,122.17
6/6/2023,ODNR_4,1,39.23
6/6/2023,ODNR_4,2,67.11
6/6/2023,ODNR_4,3,15.7
6/6/2023,ODNR_6,1,24.69
6/6/2023,ODNR_6,2,28.46
6/6/2023,ODNR_6,3,25.73
6/6/2023,Bridge,1,33.96
6/6/2023,Bridge,2,30.35
6/6/2023,Bridge,3,62.8
6/6/2023,ODNR_2,1,41.64
6/6/2023,ODNR_2,2,43.79
6/6/2023,ODNR_2,3,44.03
6/6/2023,Buoy_2,1,14.72
6/6/2023,Buoy_2,2,24.23
6/6/2023,Buoy_2,3,23.88
6/6/2023,ODNR_1,1,18.65
6/6/2023,ODNR_1,2,5.74
6/6/2023,ODNR_1,3,27.27
6/6/2023,EC_1163,1,12.08
6/6/2023,EC_1163,2,24
6/6/2023,EC_1163,3,18.34
6/6/2023,Causeway,1,13.35
6/6/2023,Causeway,2,1.89
6/6/2023,Causeway,3,15.87
6/6/2023,Bells,1,2.54
6/6/2023,Bells,2,3.53
6/6/2023,Bells,3,1.75
6/13/2023,Muddy Creek,1,137.44
6/13/2023,Muddy Creek,2,109.79
6/13/2023,Muddy Creek,3,120.4
6/13/2023,ODNR_4,1,100.32
6/13/2023,ODNR_4,2,95.76
6/13/2023,ODNR_4,3,91.75
6/13/2023,ODNR_6,1,21.7
6/13/2023,ODNR_6,2,81.64
6/13/2023,ODNR_6,3,72.52
6/13/2023,Bridge,1,92.48
6/13/2023,Bridge,2,95.65
6/13/2023,Bridge,3,94.09
6/13/2023,ODNR_2,1,69.54
6/13/2023,ODNR_2,2,84.48
6/13/2023,ODNR_2,3,89.58
6/13/2023,Buoy_2,1,61.26
6/13/2023,Buoy_2,2,65.61
6/13/2023,Buoy_2,3,63.01
6/13/2023,ODNR_1,1,60.09
6/13/2023,ODNR_1,2,60.8
6/13/2023,ODNR_1,3,61.47
6/13/2023,EC_1163,1,42.59
6/13/2023,EC_1163,2,42.58
6/13/2023,EC_1163,3,42.54
6/13/2023,Causeway,1,46.9
6/13/2023,Causeway,2,56.81
6/13/2023,Causeway,3,59.25
6/13/2023,Bells,1,3.31
6/13/2023,Bells,2,3.63
6/13/2023,Bells,3,2.98
6/20/2023,Muddy Creek,1,235.85
6/20/2023,Muddy Creek,2,221.6
6/20/2023,Muddy Creek,3,231.48
6/20/2023,ODNR_4,1,42.3
6/20/2023,ODNR_4,2,197.39
6/20/2023,ODNR_4,3,143.14
6/20/2023,ODNR_6,1,53.82
6/20/2023,ODNR_6,2,54.64
6/20/2023,ODNR_6,3,140.48
6/20/2023,Bridge,1,3
6/20/2023,Bridge,2,51.91
6/20/2023,Bridge,3,57.13
6/20/2023,ODNR_2,1,45.13
6/20/2023,ODNR_2,2,45.02
6/20/2023,ODNR_2,3,39.94
6/20/2023,Buoy_2,1,68.4
6/20/2023,Buoy_2,2,64.95
6/20/2023,Buoy_2,3,64.4
6/20/2023,ODNR_1,1,12.2
6/20/2023,ODNR_1,2,63.15
6/20/2023,ODNR_1,3,62.17
6/20/2023,EC_1163,1,66.07
6/20/2023,EC_1163,2,68.13
6/20/2023,EC_1163,3,59.93
6/20/2023,Causeway,1,21.87
6/20/2023,Causeway,2,67.09
6/20/2023,Causeway,3,47.39
6/27/2023,Muddy Creek,1,10.58
6/27/2023,Muddy Creek,2,161.28
6/27/2023,Muddy Creek,3,162.91
6/27/2023,ODNR_4,1,96.94
6/27/2023,ODNR_4,2,236.28
6/27/2023,ODNR_4,3,231.59
6/27/2023,ODNR_6,1,77.75
6/27/2023,ODNR_6,2,80.37
6/27/2023,ODNR_6,3,72.22
6/27/2023,Bridge,1,73.37
6/27/2023,Bridge,2,49.06
6/27/2023,Bridge,3,64.12
6/27/2023,ODNR_2,1,53.1
6/27/2023,ODNR_2,2,45.37
6/27/2023,ODNR_2,3,23.81
6/27/2023,Buoy_2,1,52.51
6/27/2023,Buoy_2,2,49.7
6/27/2023,Buoy_2,3,25.43
6/27/2023,ODNR_1,1,10.42
6/27/2023,ODNR_1,2,35.09
6/27/2023,ODNR_1,3,64.14
6/27/2023,EC_1163,1,30.57
6/27/2023,EC_1163,2,36.63
6/27/2023,EC_1163,3,34.98
6/27/2023,Causeway,1,69.47
6/27/2023,Causeway,2,80.35
6/27/2023,Causeway,3,67.39
6/27/2023,Bells,1,45.83
6/27/2023,Bells,2,41.65
6/27/2023,Bells,3,32.88
